Date,Gold U$/Troy Ounce,Silver cts/Troy OZ,Palladium U$/Troy Ounce,Platinum U$/Troy Ounce
10/4/1993,352.75,404,125.6,356.75
10/5/1993,353.25,404,123.9,356
10/6/1993,355.75,419,124.5,359.6
10/7/1993,357.7,432,126.85,363.35
10/8/1993,357.25,435.5,126.9,361.75
10/11/1993,360.25,431,129.5,363.4
10/12/1993,361.15,434.5,130.75,363
10/13/1993,366.75,441,133,370.1
10/14/1993,365,440,134,371.5
10/15/1993,364.75,432,132.75,366.75
10/18/1993,367.5,441.5,130.5,366.95
10/19/1993,367,436,132.75,373.25
10/20/1993,372,449.5,133.65,375.1
10/21/1993,373.35,449.5,131.6,375.85
10/22/1993,368,442.5,130,371.75
10/25/1993,371.75,443,131.1,376.35
10/26/1993,367.25,438.5,130,371
10/27/1993,371.75,445,130.6,374.25
10/28/1993,369.75,437.5,129.5,373.75
10/29/1993,368.8,437.5,130,374.5
11/1/1993,362.75,420,127.75,369.35
11/2/1993,361,417.5,128.5,366.75
11/3/1993,364.45,424,127.4,368.65
11/4/1993,372.5,441,130.4,375
11/5/1993,376.75,448.5,130.5,380.25
11/8/1993,376.25,449,128.75,377.25
11/9/1993,375.6,452,128.9,378.1
11/10/1993,376.75,452,128.65,375.75
11/11/1993,376.25,455.5,129,377.75
11/12/1993,375.2,453,129.25,377.75
11/15/1993,374.25,452,129.5,374.05
11/16/1993,375,456.5,130.35,376.75
11/17/1993,372,452,129.25,374.25
11/18/1993,377.25,466.5,129.5,379
11/19/1993,378.6,470,129,376.75
11/22/1993,379,469.5,128,377.75
11/23/1993,376.25,464.5,126.25,375.8
11/24/1993,376,465,125.1,372.75
11/25/1993,377.6,465,126,373.25
11/26/1993,377,465,125.5,374.75
11/29/1993,371.25,449.5,122.75,368.75
11/30/1993,370,442.5,123.5,366.65
12/1/1993,375.45,455.5,121.4,366.75
12/2/1993,374.95,464,123.25,374
12/3/1993,376,480.5,123,371.05
12/6/1993,376.6,482.5,124.25,374.25
12/7/1993,376.3,483.5,124.9,376.9
12/8/1993,383.25,500.5,127.75,380.2
12/9/1993,382.8,498.5,126.75,380.75
12/10/1993,382.75,497.5,126.25,379.5
12/13/1993,386.4,512.5,127.25,384.5
12/14/1993,387,508,126.25,387
12/15/1993,385,506.5,124.65,384.6
12/16/1993,386.3,501.5,125,388.75
12/17/1993,386.2,495.5,125.25,386.75
12/20/1993,389.6,509.5,125.5,389.5
12/21/1993,388.4,509,124,388.75
12/22/1993,386.2,499.5,123.25,384.15
12/23/1993,385.5,499.5,124.1,385.25
12/24/1993,386.75,499.5,123.85,385.35
12/27/1993,386.75,508,123.85,385.35
12/28/1993,386.75,504,123.85,385.35
12/29/1993,386.7,510,122.6,387.25
12/30/1993,390.5,508,123.4,393.5
12/31/1993,390.75,508,123.25,393.5
1/3/1994,390.75,522,123.25,393.5
1/4/1994,394.25,520,125,398
1/5/1994,396.5,520,126.75,397.25
1/6/1994,388.75,509,124.75,389.5
1/7/1994,388.25,500,124.75,389.75
1/10/1994,383.1,496,123.65,383.25
1/11/1994,385.25,506,123.25,385.25
1/12/1994,386.2,508,123.75,386.25
1/13/1994,389.25,519.5,123.5,385.75
1/14/1994,390,519,123.75,389.5
1/17/1994,392.5,531,124.9,392.65
1/18/1994,391.25,525.5,124.9,394
1/19/1994,391.4,525,124.9,393.25
1/20/1994,392.3,520,124.25,391.5
1/21/1994,385,519,123.6,382.5
1/24/1994,380.25,507,123.5,378.5
1/25/1994,382.3,511,123.75,381
1/26/1994,383.4,512,124,380
1/27/1994,382.2,506,124.75,386.75
1/28/1994,378.4,503,123.75,380.8
1/31/1994,378.25,495,124.5,384.85
2/1/1994,384.75,519,125.1,387
2/2/1994,384.6,530.5,126.75,391.5
2/3/1994,386.5,535.5,126.85,392.25
2/4/1994,387.7,536,128.1,397
2/7/1994,384.7,535.5,128,391.5
2/8/1994,380.4,522.5,130.5,389.35
2/9/1994,381.8,531,130.5,389.5
2/10/1994,382.25,529,132.5,392
2/11/1994,380.75,526,132.75,390
2/14/1994,382.75,535,133.25,393.75
2/15/1994,384.5,527,135.25,400.5
2/16/1994,383.5,524,136,400.75
2/17/1994,386,533.5,135,404.5
2/18/1994,378.5,517.5,133.9,399
2/21/1994,380.1,517.5,133.25,398.25
2/22/1994,378.8,521,132.75,395.85
2/23/1994,378.45,524.5,131.75,392
2/24/1994,378.1,518,132.25,389.5
2/25/1994,378.7,521,136.75,391.6
2/28/1994,381.8,531,135.75,394.65
3/1/1994,381.3,534,135.25,392.75
3/2/1994,375.75,524,135.1,386.5
3/3/1994,377.3,524,129.25,392
3/4/1994,376.6,521,128.75,391.5
3/7/1994,377.6,522,130.75,391.85
3/8/1994,376,519,130.75,391.6
3/9/1994,379.55,528.5,131.25,391.75
3/10/1994,385,536,131.95,395.75
3/11/1994,387,540,133.75,403.75
3/14/1994,387.1,547,133,403
3/15/1994,386.25,543,133.25,403.65
3/16/1994,385.9,541,133.25,401.25
3/17/1994,383.15,534.5,132.75,398.85
3/18/1994,386.2,542,133.25,400.4
3/21/1994,386.2,541.5,133.25,399.5
3/22/1994,389.25,555.5,134.35,402.15
3/23/1994,388.9,566,134,400.75
3/24/1994,387.2,570.5,134.85,404.75
3/25/1994,389.4,572.5,134.75,408.75
3/28/1994,389.8,575.5,134.4,412
3/29/1994,386.15,566.5,133.75,406.5
3/30/1994,386.7,558,133.75,409.5
3/31/1994,389.75,575.5,133.5,418
4/1/1994,389.75,575.5,133.5,418
4/4/1994,389.75,558.5,133.5,418
4/5/1994,385.4,558,134.75,408
4/6/1994,383.9,544,134,404.75
4/7/1994,384,547,132.75,406.5
4/8/1994,386.2,549.5,133.25,406.25
4/11/1994,380.75,540.5,133.25,404
4/12/1994,378,540.5,132.75,395.5
4/13/1994,378.2,529.5,132,398.5
4/14/1994,377.5,527,132.75,400.5
4/15/1994,377.25,524,132,391.25
4/18/1994,377.7,528.5,132.25,395.25
4/19/1994,372.8,516,131.25,386.25
4/20/1994,371.8,522,132.75,385.5
4/21/1994,372.7,526.5,134,389.25
4/22/1994,369.5,507.5,133,388.6
4/25/1994,372.75,512,134.25,390
4/26/1994,373.7,512,135.25,394.6
4/27/1994,374.4,512,135.25,392.5
4/28/1994,375.2,523,134.75,389
4/29/1994,376.1,523,136.75,393.75
5/2/1994,376.1,530.5,136.75,393.75
5/3/1994,375.3,524,139.9,400.5
5/4/1994,375.5,516.5,139.4,394.5
5/5/1994,374.7,513,136.75,390.5
5/6/1994,375.3,521.5,136,389.5
5/9/1994,381.25,541.5,137.5,397.15
5/10/1994,380.2,534,135.75,395.5
5/11/1994,382.9,543.5,134.5,393.5
5/12/1994,379,532,135.5,396.75
5/13/1994,380.35,538,135.75,399.4
5/16/1994,380.2,536.5,135.1,398.15
5/17/1994,382.9,555.5,135.25,400
5/18/1994,382.6,554,134.75,396.25
5/19/1994,383.7,561,135.1,399
5/20/1994,384.2,562,135.5,399.5
5/23/1994,387.75,570,136.65,406.1
5/24/1994,386.25,564,137.5,407.5
5/25/1994,387.45,563,136.65,405.1
5/26/1994,384.7,546,134,400
5/27/1994,385.7,549,134.25,397.25
5/30/1994,385.7,549,134.25,397.25
5/31/1994,387.8,561,134.5,399
6/1/1994,385.7,540,135.75,401.9
6/2/1994,383.3,533,134.25,396.25
6/3/1994,380.5,532,134.35,398
6/6/1994,378.8,523.5,133.85,395.25
6/7/1994,380.6,529,134.15,396.55
6/8/1994,382.1,534.5,135.25,398
6/9/1994,383.4,534.5,135.5,398.25
6/10/1994,383.5,536.5,136.25,399.6
6/13/1994,382.75,538.5,137,399
6/14/1994,383.9,539.5,137.75,402
6/15/1994,386.75,550.5,137.5,401.75
6/16/1994,386.1,546.5,137.5,401.75
6/17/1994,386.2,560,138.4,405.75
6/20/1994,390.4,549.5,138.75,408.25
6/21/1994,390.7,553,139.25,405.85
6/22/1994,390.7,544.5,138.5,408.5
6/23/1994,390.7,544,138.25,405.1
6/24/1994,391.7,547,138.25,404
6/27/1994,385.7,530,138.5,400.75
6/28/1994,386.7,530.5,138.5,397.75
6/29/1994,385.3,528.5,139.15,399.5
6/30/1994,388,536,141.25,400.25
7/1/1994,385,535,142.85,406.62
7/4/1994,386.95,535,143.75,410
7/5/1994,386.8,540,143.75,412.25
7/6/1994,384.5,529.5,143.65,407.35
7/7/1994,384.2,524,143,402.25
7/8/1994,383.4,524,143.75,401
7/11/1994,386,528.5,145.35,402.5
7/12/1994,386.2,527.5,144.65,403.5
7/13/1994,384.2,519,145.75,408.25
7/14/1994,383.15,516,145.9,408.25
7/15/1994,385.2,524,146.25,410.25
7/18/1994,386.5,527,147.3,416.75
7/19/1994,384.55,520.5,145.75,414.5
7/20/1994,387,533,145.75,416.5
7/21/1994,386.3,533,145.65,411.75
7/22/1994,384.7,526,145.4,411.5
7/25/1994,385.2,531.5,147.5,416.75
7/26/1994,386.3,531.5,151,421.75
7/27/1994,388.4,538,152.2,427.5
7/28/1994,387.3,536,150.75,422.25
7/29/1994,383.9,529,150,419.5
8/1/1994,383.2,529.5,152.25,424.25
8/2/1994,380.45,520.5,153.5,419.75
8/3/1994,378.7,521,153.75,414.9
8/4/1994,378.2,517,150,404.25
8/5/1994,378.5,516,149.25,409.85
8/8/1994,378,513,149.75,407.6
8/9/1994,378,514,151.25,407.75
8/10/1994,378.4,515,152,412
8/11/1994,377.2,515.5,151,409.75
8/12/1994,377.5,510.5,153,413
8/15/1994,377.35,506.5,152,409.75
8/16/1994,376.8,506.5,152.25,410.4
8/17/1994,377.95,512.5,152.6,411.75
8/18/1994,380.45,516.5,153,411.25
8/19/1994,382.1,518.5,154,413
8/22/1994,382.7,523.5,154.35,414.5
8/23/1994,382,520,153.25,411.75
8/24/1994,384.25,525.5,152.25,410.75
8/25/1994,383.4,524,151.5,411.65
8/26/1994,383.3,520,151.75,413.75
8/29/1994,383.3,525.5,151.75,413.75
8/30/1994,386.5,538.5,151.75,411.75
8/31/1994,386.25,540,151.9,413.15
9/1/1994,386,542.5,152.5,413
9/2/1994,387.25,545.5,153.25,416
9/5/1994,387.2,545.5,154.25,416.9
9/6/1994,387.65,545,154,420.25
9/7/1994,389.7,549.5,154.25,421.5
9/8/1994,391.5,548,153.25,419.25
9/9/1994,391.85,550,152.25,418.3
9/12/1994,391.4,549,151.75,419.5
9/13/1994,389.7,545,148.5,415.25
9/14/1994,390.5,546,149.55,417.5
9/15/1994,388.25,540,148.75,409.65
9/16/1994,390.6,549,149.75,409.25
9/19/1994,390.25,543,152.25,413
9/20/1994,393.8,543,153,416.75
9/21/1994,394.6,560,156.25,419.65
9/22/1994,393.8,560,155.5,418.25
9/23/1994,396,568,156.25,421
9/26/1994,395.95,567,155.5,419.75
9/27/1994,395.3,567,155,418
9/28/1994,395.5,562.5,154,420.5
9/29/1994,395.5,559,151.85,417.75
9/30/1994,393.8,559,152,419.25
10/3/1994,394.9,564,151.5,415.5
10/4/1994,392.4,560,152.5,418.25
10/5/1994,392.7,561.5,152.75,420
10/6/1994,391.8,560.5,153.6,421.25
10/7/1994,392.7,562.5,153.5,420.1
10/10/1994,390.5,558.5,153.25,417.1
10/11/1994,388.25,549,150.25,414.5
10/12/1994,388.4,548.5,152.4,417.1
10/13/1994,386.9,534.5,151.5,416.1
10/14/1994,387.6,537.5,152.75,413.75
10/17/1994,389.2,539,153.5,416.25
10/18/1994,389.5,537.5,154.75,418.25
10/19/1994,391,538.5,154.75,418.7
10/20/1994,390.9,539,156.25,424.1
10/21/1994,390.7,533.5,156.35,425.5
10/24/1994,389.5,532.5,155.6,420.5
10/25/1994,389.4,530,156.35,421.75
10/26/1994,389,536,157,422
10/27/1994,388.8,538,159.25,423.25
10/28/1994,386.9,538.5,159.75,423.25
10/31/1994,384.5,527,158.9,420.1
11/1/1994,383.75,527.5,158.85,414.6
11/2/1994,383.7,528.5,160,417.25
11/3/1994,383.7,528.5,161.25,418.25
11/4/1994,384,528.5,160,415.75
11/7/1994,383.05,523,158,413
11/8/1994,385.1,525.5,157,410.75
11/9/1994,384.4,522,157.25,408.75
11/10/1994,384.25,514,155.75,407.75
11/11/1994,385.45,518,156.25,411.75
11/14/1994,385.2,516.5,156.4,412.05
11/15/1994,386.95,521.5,158,416.85
11/16/1994,386.2,524,156.5,414.75
11/17/1994,386.4,524,156.4,416
11/18/1994,384,516,156.25,414.25
11/21/1994,383.15,514,153.75,409.75
11/22/1994,384.3,516,154.6,410.35
11/23/1994,385,517,155,410.35
11/24/1994,384.5,517,153.75,410.5
11/25/1994,384.95,514,154.15,410.5
11/28/1994,384,514,154,409.5
11/29/1994,383.35,510,153.9,410
11/30/1994,383,503.5,154.6,409.5
12/1/1994,380,489,152,402
12/2/1994,379.2,491,156,405.25
12/5/1994,376.7,491,152,400.25
12/6/1994,376.2,462.5,153.25,401.5
12/7/1994,376.3,466.5,153.3,403.5
12/8/1994,376.1,463.5,153,403.5
12/9/1994,377.6,467,152,403.75
12/12/1994,377.8,474,153.5,407.75
12/13/1994,378.5,475,153.5,411.25
12/14/1994,379.1,475,152.25,411.25
12/15/1994,379.85,480,152,409.25
12/16/1994,380.8,480.5,152.75,413.25
12/19/1994,379.3,478,152.75,413.4
12/20/1994,382,483,153.85,416.75
12/21/1994,382.2,479.5,153.75,417.5
12/22/1994,381.6,475.5,154,416.5
12/23/1994,381.3,477,154,416.5
12/26/1994,381.3,477,154,416.5
12/27/1994,381.3,479,154,416.5
12/28/1994,382,479.5,156.1,417.25
12/29/1994,384.3,489,157.25,418.75
12/30/1994,382.75,474.5,156.75,416.5
1/2/1995,382.75,474.5,156.75,416.5
1/3/1995,380.3,469,156.75,416.15
1/4/1995,376.1,463,155.25,403.75
1/5/1995,374.5,463,154.55,403.25
1/6/1995,375.75,469,154.75,409.35
1/9/1995,373,466.5,153.75,405
1/10/1995,374.7,467.5,154.9,408.5
1/11/1995,375.9,469,155.75,411
1/12/1995,381.1,485.5,156.25,415.5
1/13/1995,379.2,478.5,155.5,415
1/16/1995,377.6,487.5,153.25,412.75
1/17/1995,380,491,154.75,414.75
1/18/1995,383,488,157,421
1/19/1995,383,486.5,156.25,417
1/20/1995,384.1,481.5,156.25,416.75
1/23/1995,381.1,482.5,157.75,420
1/24/1995,381.3,481.5,157.5,416
1/25/1995,381.35,478,157.75,418.5
1/26/1995,381,478,158.5,419
1/27/1995,378.35,472,157.9,417.5
1/30/1995,375.6,468.5,156.75,413.1
1/31/1995,374.7,461,157,415.35
2/1/1995,376.2,467.5,157.5,417.5
2/2/1995,376.1,470.5,157.25,414
2/3/1995,375.9,467.5,157,414
2/6/1995,375,466.5,157.5,413.5
2/7/1995,374.8,466.5,156.75,409.25
2/8/1995,374.8,466,156,409
2/9/1995,375.9,475,157.25,414.25
2/10/1995,376.6,475,156.85,414
2/13/1995,374.6,469.5,157,413
2/14/1995,375.9,474,157,413.75
2/15/1995,376.4,475,157.5,414
2/16/1995,377.1,474.5,156.75,413.1
2/17/1995,378.4,476,157.25,415.25
2/20/1995,379.4,476,157.25,417.5
2/21/1995,378.8,475,157,417
2/22/1995,378.95,473,157.25,415.75
2/23/1995,379,480,157,417
2/24/1995,375.9,464.5,156.5,417
2/27/1995,376.1,452,155,410.25
2/28/1995,376.5,453,154.25,410.25
3/1/1995,375.05,441,153.5,408.5
3/2/1995,375.4,436,152.5,403.6
3/3/1995,376.9,436,152.85,405.5
3/6/1995,378.4,438.5,152.9,407
3/7/1995,382,452.5,154.5,415
3/8/1995,381.4,457,157.5,417.25
3/9/1995,381.6,459,155,417.5
3/10/1995,381.5,458,156.75,418.85
3/13/1995,385.5,470.5,159.5,421.75
3/14/1995,384.9,468,159.75,422
3/15/1995,386.6,476,161.6,424.75
3/16/1995,383.6,467.5,161.85,421.5
3/17/1995,383,470,163.75,418.75
3/20/1995,382.5,467.5,167.25,418.25
3/21/1995,382.9,468.5,166,418.65
3/22/1995,382.4,461,165.65,412.6
3/23/1995,383.8,467.5,168.5,416.9
3/24/1995,382,461.5,174.15,416.5
3/27/1995,381.9,465.5,170.25,415
3/28/1995,382.15,463.5,167.25,415.6
3/29/1995,383.3,475,176,421.6
3/30/1995,383.4,503.5,173,417.25
3/31/1995,391.75,522,174.5,434.25
4/3/1995,391.9,529,172.75,442
4/4/1995,391.9,527.5,174.75,445.75
4/5/1995,392.3,531.5,178.25,459
4/6/1995,394,541,173,451.75
4/7/1995,393.5,541,173.75,455
4/10/1995,389.2,523,172,450
4/11/1995,390.4,535.5,171,450
4/12/1995,390.1,531,171.85,449.5
4/13/1995,389.1,528,169.5,446.75
4/14/1995,389.1,528,169.5,446.75
4/17/1995,389.1,558.5,169.5,446.75
4/18/1995,393.9,564,173.5,454.9
4/19/1995,396.7,588,170.25,458.75
4/20/1995,393.5,578,171.25,452.75
4/21/1995,390.5,568.5,164.25,443.25
4/24/1995,391.4,569.5,165.5,443.4
4/25/1995,390,571,162.5,438.25
4/26/1995,388.6,563,162,441.5
4/27/1995,387.3,565,159.25,440.5
4/28/1995,388.6,583,163,449.25
5/1/1995,387.4,577,162.5,442
5/2/1995,388.6,586,162.9,446.25
5/3/1995,388.6,587.5,163.25,452.5
5/4/1995,390.5,600,164,459.5
5/5/1995,389.2,599,163.75,456
5/8/1995,389.2,601,163.75,456
5/9/1995,388.1,579.5,160.25,444.25
5/10/1995,383.3,538,158,432.75
5/11/1995,384.2,544.5,159.75,432.75
5/12/1995,383.5,520,159.75,433
5/15/1995,384.4,540,161.75,429.5
5/16/1995,384.75,544.5,161.5,430.75
5/17/1995,383.95,541.5,157.25,427.75
5/18/1995,382.9,536,157.25,426.25
5/19/1995,383.4,539,157.75,430
5/22/1995,382.2,530,157.05,424.75
5/23/1995,382.3,533,157.4,428.5
5/24/1995,383.7,552,158.5,431.75
5/25/1995,385.7,557,160.75,433.25
5/26/1995,387,555,162,435.5
5/29/1995,387,555,162,435.5
5/30/1995,384.9,530,162.75,436.5
5/31/1995,384.15,529,162,434.1
6/1/1995,384.3,532.5,158.25,430.25
6/2/1995,384.15,528,157.25,432
6/5/1995,383.35,529.5,156.25,431
6/6/1995,384.45,532,156.4,432.25
6/7/1995,385.9,536,156.25,433
6/8/1995,385.6,530.5,157,435.75
6/9/1995,388.2,545,157,437.4
6/12/1995,387.55,539,160,440
6/13/1995,387.4,539,159.5,439.5
6/14/1995,388,534,159.75,437.35
6/15/1995,389.8,536,160.25,439
6/16/1995,390.3,540,160.5,443
6/19/1995,391.2,549,160,442.5
6/20/1995,390.6,547,159.5,443.5
6/21/1995,390.7,544.5,158.75,443
6/22/1995,389.85,540,157.25,441.25
6/23/1995,389.75,534,156.9,441.25
6/26/1995,389.15,532.5,157,438.75
6/27/1995,389.25,532,160,443.25
6/28/1995,387.6,521.5,160.75,442.75
6/29/1995,387.9,529,158.25,439
6/30/1995,385.7,524,159,441.9
7/3/1995,384.7,524,158,434
7/4/1995,384.9,524,157.75,433.75
7/5/1995,383.9,501,156.5,433.25
7/6/1995,384.35,507.5,158.25,433.75
7/7/1995,386,517,158,434.25
7/10/1995,385.95,515,159,435
7/11/1995,385.3,512,156.75,432.75
7/12/1995,387.6,526.5,156.75,436.15
7/13/1995,388.8,524,155.75,436
7/14/1995,389.4,525,154.5,434.5
7/17/1995,389,524,154.75,436.8
7/18/1995,389.5,531.5,155,442.25
7/19/1995,391.1,534,154.5,442.75
7/20/1995,387.2,514.5,153.5,436.25
7/21/1995,385.9,518,151.75,429.25
7/24/1995,386.4,516.5,154.3,430.5
7/25/1995,386.85,517,154,432.5
7/26/1995,386.1,517,154.5,430.9
7/27/1995,385.6,516.5,154.5,430
7/28/1995,383.4,509,152.4,426.5
7/31/1995,383.1,508,153,425.15
8/1/1995,382.4,510.5,152,419
8/2/1995,382.75,511,151.75,421.75
8/3/1995,384,516,152,422.6
8/4/1995,383.5,519,152.5,423.35
8/7/1995,384.2,522,152.5,422.75
8/8/1995,384.35,522.5,152,421.75
8/9/1995,384.6,527,152.5,424
8/10/1995,384.2,523,151.25,421.25
8/11/1995,384,523,148.75,420
8/14/1995,384.2,531,146.25,415.5
8/15/1995,386.6,540,148.5,420.75
8/16/1995,382.7,533.5,148.25,421.25
8/17/1995,384.6,555,149.75,430.75
8/18/1995,384.6,566.5,149.75,430.25
8/21/1995,384.3,574,151,433.85
8/22/1995,383.7,568,149.95,429.75
8/23/1995,383,557.5,148.75,425.5
8/24/1995,383.4,561,149.25,428.25
8/25/1995,382.6,557,148.5,431.75
8/28/1995,382.6,563.5,148.5,431.75
8/29/1995,383.2,557,148,432.5
8/30/1995,382.3,545.5,145.25,426.85
8/31/1995,382.3,527,145.5,427.75
9/1/1995,381.05,526,146.25,429
9/4/1995,379.95,526,146,428.75
9/5/1995,379.25,521,144.25,422.75
9/6/1995,380.35,529,144.5,426
9/7/1995,381.95,535.5,145.3,431.5
9/8/1995,382.55,536,145.4,433
9/11/1995,382.35,544.5,145.5,431.5
9/12/1995,384.25,546.5,146,433.25
9/13/1995,384.65,540.5,147,438.75
9/14/1995,385.5,546.5,146.75,437.75
9/15/1995,385.65,544,146.5,437.25
9/18/1995,385.5,552,146.25,437.85
9/19/1995,384.65,544,146,439.6
9/20/1995,384.75,543,145.6,436.75
9/21/1995,384.15,548,136.25,424.9
9/22/1995,383.25,542,138.75,424
9/25/1995,382.85,542.5,135.75,421.25
9/26/1995,383.75,545,137.5,423.15
9/27/1995,383.65,542.5,137.85,419.9
9/28/1995,383.55,544.5,140.35,422.25
9/29/1995,383.75,542.5,142.25,423.5
10/2/1995,382.65,532,141.5,420.75
10/3/1995,382.35,530.5,139.6,413.25
10/4/1995,382.85,531,136.5,414.75
10/5/1995,383.25,530,134,412.5
10/6/1995,383.15,530,134.75,412.25
10/9/1995,384.65,538,138.5,416.25
10/10/1995,385.45,543,138.5,417.5
10/11/1995,384.65,541.5,138.25,414.75
10/12/1995,384.6,537.5,138,414.75
10/13/1995,384.15,538.5,136.9,413.25
10/16/1995,383.95,533,137.25,412.5
10/17/1995,383.5,527,137.5,412.15
10/18/1995,383.8,535,137.5,414.25
10/19/1995,382.05,529.5,134.25,410.75
10/20/1995,382.05,530.5,135.5,409.35
10/23/1995,382.75,534.5,134.75,411.1
10/24/1995,382.4,532,134.75,410
10/25/1995,382.95,539.5,135.9,413
10/26/1995,383.05,541.5,134.5,410
10/27/1995,382.75,538,136.15,409.25
10/30/1995,382.5,531,135.75,406.25
10/31/1995,382.75,535,136.5,410
11/1/1995,382.25,533,136.25,405.5
11/2/1995,382.15,530.5,135.65,407.75
11/3/1995,382.75,530.5,135.65,408.25
11/6/1995,382.25,527.5,133.5,406.25
11/7/1995,384.45,532.5,133.25,408.25
11/8/1995,385,534,134.5,413.1
11/9/1995,385.05,537,134.25,413.5
11/10/1995,388.95,543,136.25,423
11/13/1995,388,530.5,135.25,418
11/14/1995,385.95,530.5,134.5,414.5
11/15/1995,385.75,534,134.4,415.15
11/16/1995,385.4,531,134.6,415
11/17/1995,386.75,534,134,414.5
11/20/1995,386.45,533,133.75,414.35
11/21/1995,386.45,532.5,134.3,415
11/22/1995,384.95,518,132.75,413.25
11/23/1995,382.7,518,133,412
11/24/1995,383.65,518,133.15,412.9
11/27/1995,384.5,521,133.15,414.25
11/28/1995,388.65,521.5,134.25,416.25
11/29/1995,389.5,516,132.25,414
11/30/1995,387.85,516,132.15,414
12/1/1995,386.45,517.5,132.15,409.6
12/4/1995,386.35,519,130,410.6
12/5/1995,386.75,519,132.75,413
12/6/1995,388.35,524,133.15,414.2
12/7/1995,388.75,519.5,131.85,412
12/8/1995,389.25,522,132.25,413
12/11/1995,389.5,521.5,133.75,416.6
12/12/1995,388.75,518,136,416
12/13/1995,387.85,511,133.4,412.75
12/14/1995,385.95,510,133.25,409.85
12/15/1995,386,508.5,130.75,404.25
12/18/1995,387.25,513.5,131.5,407.9
12/19/1995,388,513.5,132.5,410
12/20/1995,387.75,511.5,128.25,405.25
12/21/1995,387.75,511.5,130.75,406.5
12/22/1995,387.5,510,130.5,405
12/25/1995,387.5,510,130.5,405
12/26/1995,387.5,513.5,130.5,405
12/27/1995,387.25,512.5,130.75,405.75
12/28/1995,386.95,510,128.25,402.5
12/29/1995,387.05,511,127.5,398.25
1/1/1996,387.05,511,127.5,398.25
1/2/1996,389.6,523.5,128.5,400
1/3/1996,393.75,536.5,133,410.5
1/4/1996,393.55,532.5,131.5,409.75
1/5/1996,396.25,548.5,131.75,417.25
1/8/1996,396.25,548.5,130.75,418
1/9/1996,394.55,547,129.55,414.5
1/10/1996,398.75,556,129.5,414.35
1/11/1996,398.95,550,129,417.5
1/12/1996,399.35,550,128.5,416.75
1/15/1996,395.2,539,129.25,412.75
1/16/1996,397.3,543,130.25,416.5
1/17/1996,397.4,544,130,418
1/18/1996,397.4,544.5,130,415.5
1/19/1996,396.85,547,129.5,415.65
1/22/1996,402.25,551,131,422.5
1/23/1996,402.9,554.5,130.5,423
1/24/1996,402.85,549.5,128.25,417.85
1/25/1996,407.4,558,129,421
1/26/1996,407.4,553,128.35,422
1/29/1996,407.75,552.5,126.75,414.25
1/30/1996,405.35,553.5,128.25,420.25
1/31/1996,405.75,554,127.75,420
2/1/1996,410.55,571,130,423.25
2/2/1996,415.4,579,137.5,429.25
2/5/1996,414.75,579,141,431.5
2/6/1996,411.05,571.5,139.5,427.2
2/7/1996,412.25,573,141,431
2/8/1996,408.05,570,139.75,424.5
2/9/1996,407.15,566,139.35,424
2/12/1996,404.05,570.5,138,418.5
2/13/1996,401.95,566.5,138.5,420.85
2/14/1996,402.75,568,140,420.5
2/15/1996,404.35,569,143.75,423.4
2/16/1996,404.55,566,142.25,423
2/19/1996,405.5,566,141,423.5
2/20/1996,402.35,562,138.75,421
2/21/1996,397.15,551,140,415.4
2/22/1996,401.55,555,140,415.9
